,label,category,stance,parents,similars,label_name,keywords,paraphrase,summary,full_text,groups,rating,reaction_to_argument
35,intro_36,,,,,,,,"Um es etwas allgemeiner zu formulieren, bist du der Meinung, dass + [Paraphrase]","Um es etwas allgemeiner zu formulieren, bist du der Meinung, dass",paraphrase_group,1,
36,intro_37,,,,,,,,"Wenn ich richtig verstanden habe, fragst du ","Wenn ich richtig verstanden habe, fragst du ",paraphrase_faq,1,
37,intro_38,,,,,,,,"Dir scheint also unklar zu sein,","Dir scheint also unklar zu sein,",paraphrase_faq,1,
38,intro_39,,,,,,,,Nutzerargumente pro -> con,"Dein letztes Argument war Pro, aber dein jetziges ist Kontra. Um dir die andere Seite deiner Sicht aufzuzeigen, werde ich nun die Gegenposition zu deinem aktuellen Argument einnehmen.",intro_stance_change_pc,,
39,intro_40,,,,,,,,Nutzerargumente pro -> con,"Dein letztes Argument war für unser Szenario, aber dein aktuelles ist dagegen. Ich werde nur die Gegenposition zu deinem aktuellen Argument einnehmen, um dir die Gegenposition aufzuzeigen.",intro_stance_change_pc,,
40,intro_41,,,,,,,,Nutzerargumente con -> pro,"Dein letztes Argument war Kontra, aber dein jetziges ist Pro. Um dir die andere Seite deiner Sicht aufzuzeigen, werde ich nun die Gegenposition zu deinem aktuellen Argument einnehmen.",intro_stance_change_cp,,
41,intro_42,,,,,,,,Nutzerargumente con -> pro,"Dein letztes Argument war gegen unser Szenario, aber dein aktuelles ist dafür. Ich werde nur die Gegenposition zu deinem aktuellen Argument einnehmen, um dir die Gegenposition aufzuzeigen.",intro_stance_change_cp,,
42,intro_43,,,,,,,,Dem würde ich zustimmen. Zudem sagen manche Leute: ,Dem würde ich zustimmen. Zudem sagen manche Leute: ,intro_encourage,,
43,intro_44,,,,,,,,Das halte ich für richtig. Außerdem glauben viele: ,Das halte ich für richtig. Außerdem glauben viele: ,intro_encourage,,
44,intro_45,,,,,,,,Ich denke das stimmt. Zudem wird oft Folgendes angenommen:,Ich denke das stimmt. Zudem wird oft Folgendes angenommen:,intro_encourage,,
45,intro_46,,,,,,,,Das ist ein gutes Argument. Andererseits:,Das ist ein gutes Argument. Andererseits:,good_and_counter,,
46,intro_47,,,,,,,,Das ist ein gutes Argument. Direkt dazu:,Das ist ein gutes Argument. Direkt dazu:,good_and_counter,,
47,intro_48,,,,,,,,Das kann ich nachvollziehen. Direkt dazu:,Das kann ich nachvollziehen. Direkt dazu:,good_and_counter,,
48,intro_49,,,,,,,,Das kann ich nachvollziehen. Andererseits:,Das kann ich nachvollziehen. Andererseits:,good_and_counter,,
49,intro_50,,,,,,,,Das verstehe ich. Andererseits:,Das verstehe ich. Andererseits:,good_and_counter,,
50,intro_51,,,,,,,,Das verstehe ich. Direkt dazu:,Das verstehe ich. Direkt dazu:,good_and_counter,,
51,intro_52,,,,,,,,Das ist ein gutes Argument.,Das ist ein gutes Argument.,good_no_counter,,
52,intro_53,,,,,,,,Das kann ich nachvollziehen.,Das kann ich nachvollziehen.,good_no_counter,,
53,intro_54,,,,,,,,Das verstehe ich.,Das verstehe ich.,good_no_counter,,
54,intro_55,,,,,,,,Darauf geht unser Szenario wie folgt ein:,Darauf geht unser Szenario wie folgt ein:,scenario,,
55,intro_56,,,,,,,,Das ist im Szenario bereits berücksichtigt:,Das ist im Szenario bereits berücksichtigt:,scenario,,
56,intro_57,,,,,,,,Dein Argument ist nicht spezifisch bzgl. der medKI sondern gilt für viele fortgeschrittliche Innovationen.,Dein Argument ist nicht spezifisch bzgl. der medKI sondern gilt für viele fortgeschrittliche Innovationen.,general,,
57,intro_58,,,,,,,,"Das ist möglich, aber nicht sehr wahrscheinlich.","Das ist möglich, aber nicht sehr wahrscheinlich.",possible,,
58,intro_59,,,,,,,,"Das stimmt, allerdings ist es nicht sehr wahrscheinlich.","Das stimmt, allerdings ist es nicht sehr wahrscheinlich.",possible,,
59,intro_60,,,,,,,,Kannst du das nochmal näher erläutern?,Kannst du das nochmal näher erläutern?,miscellaneous,,
60,intro_61,,,,,,,,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das umformulieren?","Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders formulieren?",clarify,,
61,intro_62,,,,,,,,"Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?","Ich bin mir nicht sicher, was du genau meinst. Kannst du das anders ausdrücken?",clarify,,
62,intro_63,,,,,,,,"Ich bin mir nicht sicher, ob ich dich richtig verstehe. Kannst du das umformulieren?","Ich bin mir nicht sicher, ob ich dich richtig verstehe. Kannst du das umformulieren?",clarify,,
63,intro_64,,,,,,,,"Ich bin mir nicht sicher, ob ich dich richtig verstehe. Kannst du anders ausdrücken?","Ich bin mir nicht sicher, ob ich dich richtig verstehe. Kannst du anders ausdrücken?",clarify,,
64,intro_65,,,,,,,,"Schön, dass du mein Argument gut findest.","Schön, dass du mein Argument gut findest. ",user_agree,,
65,intro_66,,,,,,,,"Freut mich, dass du mein Argument gut findest. ","Freut mich, dass du mein Argument gut findest. ",user_agree,,
66,intro_67,,,,,,,,"Schade, dass dich meine Argumentation nicht überzeugt.","Schade, dass dich meine Argumentation nicht überzeugt.",user_disagree,,
67,intro_68,,,,,,,,"Es ist schade, dass du meine Argumente nicht überzeugend findest.","Es ist schade, dass du meine Argumente nicht überzeugend findest.",user_disagree,,
